TCGA-A7-A13D-01A-13R-A12P-07	TCGA-E9-A1RH-11A-34R-A169-07
SELL	241	257
SELP	4	2265
SELPLG	243	1076
SEMA3A	127	617
SEMA3B	125	1729
SEMA3C	9760	12565
SEMA3D	324	1592
SEMA3E	1042	1300
SEMA3F	2486	2047
SEMA3G	261	12086
SEMA4A	2487	384
SEMA4B	5483	1239
SEMA4C	4421	1532
SEMA4D	1177	728
SEMA4F	1437	1015
SEMA4G	216	156
SEMA5A	1920	2318
SEMA5B	76	83
SEMA6A	269	1982
SEMA6B	929	784
SEMA6C	874	675
SEMA6D	106	1119
SEMA7A	2285	80
SEMG1	1	0
SEMG2	0	0
SENP1	1378	1123
SENP2	1963	2790
SENP3	1399	459
SENP5	2767	1936
SENP6	3079	4890
SENP7	640	1454
SENP8	63	171
SEPHS1	9020	2911
SEPHS2	4081	2935
SEPSECS	204	1272
SEPTIN1	114	256
SEPTIN10	2512	6942
SEPTIN11	7052	19372
SEPTIN12	7	0
SEPTIN14	0	0
SEPTIN2	22332	38925
SEPTIN3	3127	125
SEPTIN4	451	2219
SEPTIN5	8	7
SEPTIN6	2366	1495
SEPTIN7	11676	12001
SEPTIN8	4072	3134
SEPTIN9	45935	7556
SERAC1	705	653
SERBP1	24777	16647
SERF1A	0	0
SERF2	11910	7265
SERGEF	607	791
SERHL2	81	80
SERINC1	6491	36916
SERINC2	21176	953
SERINC3	8235	20308
SERINC4	0	0
SERINC5	3186	2366
SERP1	14643	8466
SERP2	60	148
SERPINA1	2418	1895
SERPINA10	0	2
SERPINA11	4	44
SERPINA12	20	5
SERPINA3	268	14
SERPINA4	5	0
SERPINA5	738	2386
SERPINA6	4	14
SERPINA7	0	0
SERPINA9	3	0
SERPINB1	1548	3657
SERPINB10	0	0
SERPINB11	0	0
SERPINB12	8	0
SERPINB13	2	0
SERPINB2	52	2
SERPINB3	0	0
SERPINB4	0	0
SERPINB5	3704	1012
SERPINB6	6861	8704
SERPINB7	76	1
SERPINB8	597	431
SERPINB9	158	739
SERPINC1	19	8
SERPIND1	4	61
SERPINE1	13317	427
SERPINE2	4218	1484
SERPINE3	7	6
SERPINF1	2875	48786
SERPINF2	40	272
SERPING1	7563	58974
SERPINH1	31468	8402
SERPINI1	287	877
SERPINI2	3	1
SERTAD1	2079	586
SERTAD2	5438	2673
SERTAD3	3189	857
SERTAD4	1235	2266
SERTM1	0	125
SESN1	413	3158
SESN2	1297	973
SESN3	3300	7997
SESTD1	3886	10503
SET	17815	12198
SETBP1	743	2369
SETD1A	1765	1628
SETD1B	1892	2432
SETD2	4271	6691
SETD3	2115	5575
SETD4	896	693
SETD5	5480	5594
SETD6	727	631
SETD7	4147	19635
SETD9	28	404
SETDB1	2707	1477
SETDB2	431	1086
SETMAR	1294	1568
SETSIP	11	2
SETX	3853	7658
SEZ6	1	9
SEZ6L	0	21
SEZ6L2	6021	305
SF1	11182	10402
SF3A1	8820	7628
SF3A2	2919	1710
SF3A3	9106	4490
SF3B1	21881	19813
SF3B2	15461	12806
SF3B3	13915	8008
SF3B4	8916	2550
SF3B5	4556	2511
SF3B6	5299	2447
SFI1	617	454
SFMBT1	596	679
SFMBT2	2165	746
SFN	5554	670
SFPQ	18571	9973
SFR1	466	307
SFRP1	5341	36771
SFRP2	10422	21439
SFRP4	843	5648
SFRP5	0	7
SFSWAP	1878	1821
SFT2D1	1615	2214
SFT2D2	7989	4135
SFT2D3	0	0
SFTA2	3	2
SFTA3	0	1
SFTPA1	4	3
SFTPA2	7	4
SFTPB	2	0
SFTPC	8	0
SFTPD	15	64
SFXN1	2234	1275
SFXN2	415	463
SFXN3	3093	2240
SFXN4	1533	927
SFXN5	1123	310
SGCA	46	212
SGCB	2083	7584
SGCD	1306	2870
SGCE	1622	3975
SGCG	8	1069
SGCZ	0	26
SGF29	441	521
SGIP1	325	184
SGK1	1898	1537
SGK2	84	1463
SGK3	306	512
SGMS1	2175	2728
SGMS2	1101	1343
SGPL1	4276	4117
SGPP1	480	1691
SGPP2	614	89
SGSH	2274	1814
SGSM1	409	196
SGSM2	1547	1840
SGSM3	44	11
SGTA	4174	2830
SGTB	444	795
SH2B1	1706	1896
SH2B2	866	42
SH2B3	1715	2658
SH2D1A	0	60
SH2D1B	8	51
SH2D2A	470	52
SH2D3A	1119	178
SH2D3C	726	1570
SH2D4A	825	706
SH2D4B	5	2
SH2D5	14	3
SH2D6	1	3
SH2D7	21	7
SH3BGR	12	12
SH3BGRL	5419	9850
SH3BGRL2	513	4843
SH3BGRL3	14611	4172
SH3BP1	551	72
SH3BP2	2518	3011
SH3BP4	5307	3399
SH3BP5	448	1152
SH3BP5L	4217	1685
SH3D19	1459	24336
SH3D21	707	230
SH3GL1	4932	2292
SH3GL2	1	21
SH3GL3	15	3
SH3GLB1	8379	18123
SH3GLB2	2963	2362
SH3KBP1	3818	7655
SH3PXD2A	7380	5490
SH3PXD2B	8170	3475
SH3RF1	6278	1773
SH3RF2	1575	585
SH3RF3	762	1107
SH3TC1	1199	373
SH3TC2	186	213
SH3YL1	5028	1684
SHANK1	151	9
SHANK2	3255	682
SHANK3	1786	4369
SHARPIN	4307	2007
SHB	1201	223
SHBG	19	28
SHC1	10290	4358
SHC2	623	880
SHC3	85	1158
SHC4	393	100
SHCBP1	1256	53
SHCBP1L	0	0
SHD	13	0
SHE	106	2218
SHF	274	217
SHH	2	1
SHISA2	189	121
SHISA3	17	105
SHISA4	725	601
SHISA5	9357	6493
SHISA6	81	549
SHISA7	5	2
SHISA8	1	0
SHISA9	3	33
SHKBP1	8251	1408
SHMT1	1359	6582
SHMT2	7362	1832
SHOC2	2853	4295
SHOX	8	2
SHOX2	847	537
SHPK	96	147
SHPRH	388	1047
SHQ1	934	795
SHROOM1	296	704
SHROOM2	1568	203
SHROOM3	4565	1636
SHROOM4	1563	2245
SI	0	0
SIAE	1115	2296
SIAH1	500	524
SIAH2	2323	1365
SIAH3	6	3
SIDT1	160	325
SIDT2	1523	8501
SIGIRR	1264	706
SIGLEC1	939	2991
SIGLEC10	98	70
SIGLEC11	3	68
SIGLEC12	5	1
SIGLEC14	73	86
SIGLEC15	102	45
SIGLEC5	0	0
SIGLEC6	11	179
SIGLEC7	29	33
SIGLEC8	12	95
SIGLEC9	73	80
SIGLECL1	0	0
SIGMAR1	8017	2551
SIK1	764	35
SIK2	2689	31534
SIK3	1484	2995
SIKE1	2437	2573
SIL1	1802	1822
SIM1	144	925
SIM2	952	11
SIMC1	687	496
SIN3A	3415	4512
SIN3B	2062	2424
SIPA1	2499	1182
SIPA1L1	2518	1354
SIPA1L2	4734	1582
SIPA1L3	7834	1068
SIRPA	5840	6334
SIRPB1	72	77
SIRPB2	79	224
SIRPD	0	1
SIRPG	5	21
SIRT1	1917	2767
SIRT2	4652	4412
SIRT3	753	1588
SIRT4	61	81
SIRT5	692	1129
SIRT6	683	320
SIRT7	2030	484
SIT1	5	44
SIVA1	2961	1641
SIX1	1246	1032
SIX2	1129	135
SIX3	78	15
SIX4	1444	302
SIX5	549	315
SIX6	1	0
SKA1	691	24
SKA2	1350	1713
SKA3	776	34
SKAP1	374	179
SKAP2	1748	4737
SKI	6196	11702
SKIDA1	249	154
SKIL	8308	2894
SKOR1	8	14
SKOR2	0	0
SKP1	6368	10089
SKP2	3253	1221
SLA	262	588
SLA2	20	35
SLAIN1	1	249
SLAIN2	2719	5404
SLAMF1	3	45
SLAMF6	13	106
SLAMF7	92	356
SLAMF8	119	42
SLAMF9	88	1
SLBP	2465	1925
SLC10A1	2	8
SLC10A2	0	0
SLC10A3	2147	1286
SLC10A4	2	2
SLC10A5	21	16
SLC10A6	10	106
SLC10A7	339	596
SLC11A1	521	120
SLC11A2	4575	2299
SLC12A1	20	11
SLC12A2	2610	4001
SLC12A3	5	1
SLC12A4	2210	5122
SLC12A5	65	9
SLC12A6	841	2510
SLC12A7	13139	3082
SLC12A8	1744	144
SLC12A9	2793	1014
SLC13A1	0	0
SLC13A2	4	299
SLC13A3	847	144
SLC13A4	36	76
SLC13A5	11	6
SLC14A1	12	415
SLC14A2	3	400
SLC15A1	107	8
SLC15A2	864	152
SLC15A3	930	1235
SLC15A4	1403	1910
SLC15A5	0	40
SLC16A1	8678	2254
SLC16A10	43	163
SLC16A11	11	38
SLC16A12	2	65
SLC16A13	311	80
SLC16A14	182	589
SLC16A2	1101	3977
SLC16A3	7509	247
SLC16A4	674	616
SLC16A5	386	343
SLC16A6	80	76
SLC16A7	235	15160
SLC16A8	48	22
SLC16A9	35	165
SLC17A1	3	0
SLC17A2	0	0
SLC17A3	15	1
SLC17A4	0	1
SLC17A5	1727	2093
SLC17A6	0	1
SLC17A7	238	551
SLC17A8	0	0
SLC17A9	176	97
SLC18A1	0	0
SLC18A2	6	96
SLC18A3	3	0
SLC18B1	1042	1188
SLC19A1	4400	1048
SLC19A2	1167	1256
SLC19A3	95	29955
SLC1A1	387	398
SLC1A2	194	183
SLC1A3	1058	7362
SLC1A4	2055	1625
SLC1A5	13750	9742
SLC1A6	723	2
SLC1A7	19	749
SLC20A1	4488	1249
SLC20A2	3389	2068
SLC22A1	17	10
SLC22A10	0	2
SLC22A11	1	3
SLC22A12	0	35
SLC22A13	0	1
SLC22A14	21	7
SLC22A15	380	111
SLC22A16	9	5
SLC22A17	921	1140
SLC22A18	533	458
SLC22A18AS	34	179
SLC22A2	16	1
SLC22A23	1071	1046
SLC22A24	0	0
SLC22A25	0	32
SLC22A3	432	1739
SLC22A31	35	2
SLC22A4	43	58
SLC22A5	704	987
SLC22A6	0	0
SLC22A7	1	0
SLC22A8	1	0
SLC22A9	0	0
SLC23A1	30	28
SLC23A2	2238	3116
SLC23A3	21	22
SLC24A1	385	942
SLC24A2	73	11
SLC24A3	1992	2061
SLC24A4	12	106
SLC24A5	0	1
SLC25A1	4761	7612
SLC25A10	1332	388
SLC25A11	2485	2902
SLC25A12	1163	1585
SLC25A13	4899	910
SLC25A14	441	281
SLC25A15	853	330
SLC25A16	744	4616
SLC25A17	1625	989
SLC25A18	35	475
SLC25A19	722	191
SLC25A2	0	1
SLC25A20	1378	2860
SLC25A21	44	58
SLC25A22	1538	552
SLC25A23	1577	4973
SLC25A24	3132	3178
SLC25A25	985	1010
SLC25A26	806	1182
SLC25A27	89	625
SLC25A28	794	1640
SLC25A29	1452	909
SLC25A3	12158	23113
SLC25A30	764	2028
SLC25A31	0	1
SLC25A32	14	5
SLC25A33	1160	1492
SLC25A34	28	251
SLC25A35	228	492
SLC25A36	3470	5525
SLC25A37	2779	2063
SLC25A38	1077	2012
SLC25A39	13232	3216
SLC25A4	2462	1973
SLC25A40	658	901
SLC25A41	8	5
SLC25A42	328	1073
SLC25A43	1591	1228
SLC25A44	5228	2146
SLC25A45	197	405
SLC25A46	1602	4814
SLC25A47	1	0
SLC25A48	21	48
SLC25A5	21215	7995
SLC25A51	446	1229
SLC25A52	1	1
SLC25A53	177	248
SLC25A6	18418	22984
SLC26A1	70	108
SLC26A11	1411	493
SLC26A2	3464	1872
SLC26A3	3	13
SLC26A4	21	137
SLC26A5	7	5
SLC26A6	1839	314
SLC26A7	78	121
SLC26A8	22	31
SLC26A9	9	1
SLC27A1	701	2933
SLC27A2	16	902
SLC27A3	930	2379
SLC27A4	2606	1043
SLC27A5	584	201
SLC27A6	884	123
SLC28A1	132	34
SLC28A2	2	9
SLC28A3	1115	162
SLC29A1	3718	12093
SLC29A2	1186	555
SLC29A3	521	494
SLC29A4	1888	6204
SLC2A1	53490	1072
SLC2A10	2170	1995
SLC2A11	206	626
SLC2A12	79	129
SLC2A13	340	920
SLC2A14	263	4
SLC2A2	0	0
SLC2A3	3066	963
SLC2A4	15	6664
SLC2A4RG	4847	4122
SLC2A5	371	307
SLC2A6	1045	151
SLC2A7	1	1
SLC2A8	505	1132
SLC2A9	233	215
SLC30A1	2257	3105
SLC30A10	4	0
SLC30A2	13	8
SLC30A3	8	8
SLC30A4	670	1170
SLC30A5	1648	2775
SLC30A6	2311	2492
SLC30A7	2411	1798
SLC30A8	4	4
SLC30A9	2874	4071
SLC31A1	4320	2445
SLC31A2	7	16
SLC32A1	0	1
SLC33A1	1014	961
SLC34A1	0	1
SLC34A2	7618	799
SLC34A3	7	1
SLC35A1	456	631
SLC35A2	6899	751
SLC35A3	1554	1777
SLC35A4	4292	5023
SLC35A5	735	2109
SLC35B1	2454	1358
SLC35B2	3680	1746
SLC35B3	1694	1669
SLC35B4	1069	1649
SLC35C1	1489	2142
SLC35C2	5197	1930
SLC35D1	1103	1259
SLC35D2	154	153
SLC35D3	3	0
SLC35E1	12178	3923
SLC35E2B	2207	3663
SLC35E3	334	803
SLC35E4	278	161
SLC35F1	33	182
SLC35F2	2423	359
SLC35F3	199	102
SLC35F4	0	0
SLC35F5	3769	4813
SLC35F6	7138	3217
SLC35G1	194	643
SLC35G2	97	1275
SLC35G3	0	0
SLC35G4	0	0
SLC35G5	1	1
SLC35G6	0	1
SLC36A1	1218	1029
SLC36A2	1	16
SLC36A3	0	0
SLC36A4	520	495
SLC37A1	3993	336
SLC37A2	480	1032
SLC37A3	3301	2447
SLC37A4	898	737
SLC38A1	14792	4232
SLC38A10	9564	5770
SLC38A11	18	39
SLC38A2	9975	8748
SLC38A3	76	604
SLC38A4	10	42
SLC38A5	1091	82
SLC38A6	398	543
SLC38A7	1269	1020
SLC38A8	1	0
SLC38A9	230	580
SLC39A1	103	13
SLC39A10	2137	1895
SLC39A11	4173	1598
SLC39A12	9	1
SLC39A13	2376	1735
SLC39A14	4286	5808
SLC39A2	14	12
SLC39A3	663	311
SLC39A4	2782	230
SLC39A5	5	1
SLC39A6	5631	9144
SLC39A7	12982	5430
SLC39A8	2525	1138
SLC39A9	3812	6076
SLC3A1	3	4
SLC3A2	12120	5864
SLC40A1	706	13221
SLC41A1	2227	3886
SLC41A2	865	1250
SLC41A3	3130	2826
SLC43A1	158	1065
SLC43A2	2198	1822
SLC43A3	1545	1464
SLC44A1	7763	7398
SLC44A2	19010	11126
SLC44A3	993	333
SLC44A4	65	242
SLC44A5	36	112
SLC45A1	118	149
SLC45A2	21	0
SLC45A3	531	228
SLC45A4	1056	680
SLC46A1	326	633
SLC46A2	3	14
SLC46A3	540	1817
SLC47A1	22	240
SLC47A2	3	39
SLC48A1	1726	3291
SLC4A1	1	4
SLC4A10	13	16
SLC4A11	945	200
SLC4A1AP	2487	1573
SLC4A2	7432	2060
SLC4A3	1468	259
SLC4A4	52	2280
SLC4A5	56	22
SLC4A7	1454	1721
SLC4A8	94	109
SLC4A9	4	1
SLC50A1	6686	1175
SLC51A	132	259
SLC51B	7	21
SLC52A1	51	20
SLC52A2	5761	792
SLC52A3	1508	247
SLC5A1	919	336
SLC5A10	2	4
SLC5A11	17	1
SLC5A12	3	13
SLC5A2	0	2
SLC5A3	4910	4524
SLC5A4	6	19
SLC5A5	3	2
SLC5A6	30094	5200
SLC5A7	2	14
SLC5A8	17	12
SLC5A9	29	39
SLC6A1	180	23
SLC6A11	960	15
SLC6A12	28	33
SLC6A13	0	4
SLC6A14	728	339
SLC6A15	251	54
SLC6A16	204	234
SLC6A17	243	7
SLC6A18	0	0
SLC6A19	1	0
SLC6A2	194	64
SLC6A20	34	96
SLC6A3	43	2
SLC6A4	11	65
SLC6A5	0	0
SLC6A6	3899	1903
SLC6A7	4	3
SLC6A8	8009	4150
SLC6A9	2819	215
SLC7A1	5451	1510
SLC7A10	17	5636
SLC7A11	201	31
SLC7A13	1	0
SLC7A14	1	16
SLC7A2	72	3342
SLC7A3	1	16
SLC7A4	0	140
SLC7A5	23819	282
SLC7A6	439	1445
SLC7A6OS	209	302
SLC7A7	334	724
SLC7A8	532	2314
SLC7A9	65	8
SLC8A1	192	761
SLC8A2	231	7
SLC8A3	3	55
SLC8B1	1363	2257
SLC9A1	4054	2380
SLC9A2	234	53
SLC9A3	44	9
SLC9A4	11	0
SLC9A5	135	131
SLC9A6	909	1443
SLC9A7	3482	909
SLC9A8	1207	1545
SLC9A9	154	1965
SLC9B1	16	43
SLC9B2	459	754
SLC9C1	24	9
SLC9C2	8	7
SLCO1A2	5	21
SLCO1B1	0	0
SLCO1B3	0	0
SLCO1C1	8	210
SLCO2A1	122	1898
SLCO2B1	542	2883
SLCO3A1	1105	1701
SLCO4A1	860	293
SLCO4C1	42	59
SLCO5A1	10	5
SLCO6A1	0	2
SLFN11	1269	3137
SLFN12	549	460
SLFN12L	7	34
SLFN13	2089	517
SLFN14	4	2
SLFN5	3594	8063
SLFNL1	82	12
SLIRP	2002	1218
SLIT1	19	38
SLIT2	249	4330
SLIT3	1120	20743
SLITRK1	1	0
SLITRK2	9	68
SLITRK3	1	12
SLITRK4	69	597
SLITRK5	54	28
SLITRK6	1014	152
SLK	844	8076
SLMAP	3239	4266
SLN	38	2
SLPI	16315	1125
SLTM	4930	5389
SLU7	2597	4115
SLURP1	21	4
SLX1A	0	0
SLX1B	0	0
SLX4	445	380
SLX4IP	658	582
SMAD1	1660	1700
SMAD2	4172	7201
SMAD3	3956	4297
SMAD4	2542	5062
SMAD5	2948	6133
SMAD6	1383	1001
SMAD7	1961	2708
SMAD9	201	647
SMAGP	1938	352
SMAP1	704	483
SMAP2	2128	2396
SMARCA1	939	4520
SMARCA2	10846	15453
SMARCA4	14166	3182
SMARCA5	11389	5758
SMARCAD1	1478	2037
SMARCAL1	1445	1359
SMARCB1	4188	2105
SMARCC1	15350	4930
SMARCC2	3547	7108
SMARCD1	4286	2659
SMARCD2	12347	6502
SMARCD3	949	1111
SMARCE1	479	521
SMC1A	11368	5471
SMC1B	107	6
SMC2	3030	1399
SMC3	5650	4703
SMC4	4729	1068
SMC5	2145	2186
SMC6	2654	1640
SMCHD1	4403	4186
SMCO1	1	0
SMCO2	51	5
SMCO3	2	0
SMCO4	1109	346
SMCP	3	0
SMCR8	1977	2483
SMDT1	1285	2025
SMG1	5483	7301
SMG5	25519	4254
SMG6	1103	2169
SMG7	7516	5003
SMG8	835	946
SMG9	4008	940
SMIM1	62	34
SMIM10	96	792
SMIM10L1	1479	1460
SMIM11	3	0
SMIM12	2455	1525
SMIM13	1357	943
SMIM14	3109	8322
SMIM15	1403	2400
SMIM17	16	31
SMIM18	0	2
SMIM19	630	2159
SMIM2	0	0
SMIM20	785	1444
SMIM21	0	2
SMIM22	310	32
SMIM23	7	0
SMIM24	20	2
SMIM3	1494	6869
SMIM5	163	16
SMIM6	2	1
SMIM7	1756	2098
SMIM8	388	393
SMIM9	0	1
SMKR1	210	16
SMLR1	3	8
SMN1	280	153
SMNDC1	2410	1908
SMO	2245	825
SMOC1	981	467
SMOC2	1354	22062
SMOX	1570	183
SMPD1	1510	2170
SMPD2	659	237
SMPD3	31	155
SMPD4	7223	2207
SMPDL3A	396	768
SMPDL3B	2094	45
SMPX	7	1
SMR3A	0	0
SMR3B	0	0
SMS	14307	2734
SMTN	4151	2062
SMTNL1	17	3
SMTNL2	28	72
SMU1	3331	4408
SMUG1	1144	1103
SMURF1	4560	2191
SMURF2	3109	2689
SMYD1	12	844
SMYD2	5195	1533
SMYD3	1735	461
SMYD4	413	1179
SMYD5	3027	1211
SNAI1	1036	217
SNAI2	735	1526
SNAI3	21	19
SNAP23	415	736
SNAP25	24	15
SNAP29	1425	2465
SNAP47	2153	1139
SNAP91	29	29
SNAPC1	474	272
SNAPC2	794	575
SNAPC3	1391	1993
SNAPC4	1162	523
SNAPC5	787	841
SNAPIN	1932	2229
SNCA	97	211
SNCAIP	56	395
SNCB	8	3
SNCG	166	3749
SND1	30784	10014
SNED1	688	3245
SNF8	1523	1052
SNIP1	1148	1110
SNN	2369	6498
SNPH	256	315
SNRK	1366	3977
SNRNP200	34957	14928
SNRNP25	1521	866
SNRNP27	691	1430
SNRNP35	942	754
SNRNP40	4213	1517
SNRNP48	809	838
SNRNP70	7840	4598
SNRPA	4080	1972
SNRPA1	2319	784
SNRPB	9131	1703
SNRPB2	4983	2270
SNRPC	3322	2038
SNRPD1	3026	1274
SNRPD2	25659	4070
SNRPD3	3576	1897
SNRPE	3796	1625
SNRPF	2664	1138
SNRPG	3897	1185
SNRPN	17	79
SNTA1	2064	3610
SNTB1	1717	1532
SNTB2	1126	7233
SNTG1	0	0
SNTG2	3	227
SNTN	7	0
SNUPN	565	594
SNURF	1	4
SNW1	2656	2926
SNX1	3628	14381
SNX10	495	2635
SNX11	1012	1998
SNX12	7510	2648
SNX13	2118	4221
SNX14	1449	2611
SNX15	8	43
SNX16	950	1221
SNX17	5859	7745
SNX18	2083	3727
SNX19	5277	9009
SNX2	2582	6102
SNX20	83	176
SNX21	971	1817
SNX22	264	55
SNX24	446	510
SNX25	1199	741
SNX27	4053	2835
SNX29	1547	4398
SNX3	6186	14227
SNX30	1631	1674
SNX31	443	18
SNX32	12	23
SNX33	2533	6232
SNX4	2842	2143
SNX5	4057	8326
SNX6	2552	5393
SNX7	1835	1006
SNX8	6292	1573
SNX9	3160	8302
SOAT1	2190	2485
SOAT2	3	7
SOBP	148	1014
SOCS1	80	120
SOCS2	227	2031
SOCS3	7256	1230
SOCS4	1495	1627
SOCS5	3987	2953
SOCS6	1813	1971
SOCS7	2050	1552
SOD1	12840	11751
SOD2	14858	31100
SOD3	416	8565
SOGA1	8061	4457
SOGA3	6	19
SOHLH1	2	3
SOHLH2	2	3
SON	18047	16155
SORBS1	2854	88384
SORBS2	3358	3415
SORBS3	2439	5664
SORCS1	3	92
SORCS2	596	489
SORCS3	1	12
SORD	1197	432
SORL1	2336	3281
SORT1	21712	21845
SOS1	5837	8569
SOS2	2229	4334
SOST	4	1
SOSTDC1	1790	345
SOWAHA	2	210
SOWAHB	142	37
SOWAHC	1706	1265
SOWAHD	10	16
SOX1	0	0
SOX10	12337	1054
SOX11	3535	10
SOX12	2940	503
SOX13	3877	2811
SOX14	0	1
SOX15	71	48
SOX17	92	371
SOX18	1123	1291
SOX2	9	1
SOX21	3	1
SOX3	0	1
SOX30	5	12
SOX4	15967	2855
SOX5	44	1400
SOX6	707	601
SOX7	172	812
SOX8	141	53
SOX9	6654	1553
SP1	7058	10100
SP100	3036	4696
SP110	807	1416
SP140	78	69
SP140L	465	756
SP2	1370	1575
SP3	6494	6237
SP4	624	598
SP5	6	71
SP6	342	91
SP7	9	2
SP8	0	1
SP9	0	9
SPA17	115	109
SPACA1	0	0
SPACA3	1	2
SPACA4	7	0
SPACA5	0	1
SPACA5B	0	0
SPACA7	0	0
SPAG1	2333	303
SPAG11A	0	0
SPAG11B	0	0
SPAG16	320	1194
SPAG17	135	230
SPAG4	506	79
SPAG5	2737	191
SPAG6	5	2
SPAG7	1699	1946
SPAG8	21	53
SPAG9	4885	9359
SPAM1	0	0
SPANXA2	0	0
SPANXB1	8	0
SPANXC	0	0
SPANXD	0	0
SPANXN1	0	0
SPANXN2	0	0
SPANXN3	1	0
SPANXN4	0	0
SPANXN5	0	0
SPARC	138621	174081
SPARCL1	4330	53679
SPAST	1653	1321
SPATA12	24	9
SPATA13	1554	1307
SPATA16	0	0
SPATA17	39	53
SPATA18	180	1117
SPATA19	0	0
SPATA2	1162	748
SPATA20	1316	3120
SPATA21	0	5
SPATA22	4	25
SPATA24	381	87
SPATA25	34	15
SPATA2L	568	119
SPATA3	0	1
SPATA31A1	0	0
SPATA31A3	0	0
SPATA31A5	0	0
SPATA31A6	0	0
SPATA31A7	0	0
SPATA31C1	0	0
SPATA31D1	0	0
SPATA31D3	0	0
SPATA31D4	0	0
SPATA31E1	0	0
SPATA32	36	3
SPATA33	313	182
SPATA4	1	4
SPATA45	1	1
SPATA5	459	626
SPATA5L1	551	375
SPATA6	315	1059
SPATA6L	9	47
SPATA7	230	857
SPATA8	0	2
SPATA9	6	99
SPATC1	3	7
SPATC1L	12	149
SPATS1	0	0
SPATS2	2728	769
SPATS2L	5461	2932
SPC24	454	59
SPC25	560	26
SPCS1	3969	4150
SPCS2	1340	1745
SPCS3	4219	5917
SPDEF	12	700
SPDL1	1119	316
SPDYA	23	14
SPDYC	1	6
SPDYE1	14	17
SPDYE2	15	9
SPDYE2B	4	0
SPDYE3	4	8
SPDYE4	2	1
SPDYE5	36	8
SPECC1	2937	1455
SPECC1L	2255	1856
SPEF1	7	5
SPEF2	786	536
SPEG	1240	377
SPEM1	3	1
SPEN	4147	7861
SPESP1	7	120
SPG11	2176	4916
SPG21	5108	4429
SPG7	3321	3469
SPHK1	2052	508
SPHK2	751	555
SPHKAP	34	62
SPI1	400	767
SPIB	301	12
SPIC	0	0
SPICE1	102	70
SPIDR	3336	2288
SPIN1	5842	7105
SPIN2A	1	32
SPIN2B	49	99
SPIN3	664	837
SPIN4	393	234
SPINK1	513	0
SPINK13	1	5
SPINK14	0	0
SPINK2	44	7
SPINK4	2	0
SPINK5	15	78
SPINK6	0	2
SPINK7	0	1
SPINK8	16	8
SPINK9	0	2
SPINT1	28907	1330
SPINT2	13554	605
SPINT3	0	0
SPINT4	1	0
SPIRE1	2025	1336
SPIRE2	491	125
SPN	96	260
SPNS1	13	16
SPNS2	4966	1166
SPNS3	36	13
SPO11	0	0
SPOCD1	589	30
SPOCK1	4790	5251
SPOCK2	96	1212
SPOCK3	7	14
SPON1	756	8458
SPON2	2095	3153
SPOP	1728	4540
SPOPL	2114	1947
SPP1	36240	1116
SPP2	0	0
SPPL2A	2293	4451
SPPL2B	1459	1092
SPPL2C	0	0
SPPL3	2792	3655
SPR	3396	1933
SPRED1	2122	3410
SPRED2	2116	3079
SPRED3	185	44
SPRN	11	0
SPRR1A	14	0
SPRR1B	2	0
SPRR2D	8	0
SPRR2E	0	0
SPRR2F	2	5
SPRR2G	0	0
SPRR3	11	0
SPRR4	0	0
SPRTN	660	494
SPRY1	1215	5664
SPRY2	614	3717
SPRY3	212	276
SPRY4	3280	1543
SPRYD3	3830	3965
SPRYD4	565	651
SPRYD7	590	584
SPSB1	6005	3567
SPSB2	426	198
SPSB3	9	2
SPSB4	30	148
SPTA1	20	22
SPTAN1	22303	24098
SPTB	42	748
SPTBN1	23479	107444
SPTBN2	6151	648
SPTBN4	145	359
SPTBN5	481	134
SPTLC1	3111	5228
SPTLC2	3892	5841
SPTLC3	639	1018
SPTSSA	3573	2399
SPTSSB	63	134
SPTY2D1	1904	1569
SPX	6	11214
SPZ1	0	0
SQLE	7381	474
SQSTM1	7082	10575
SRA1	1159	1021
SRBD1	1445	1284
SRC	9140	1367
SRCAP	159	166
SRCIN1	644	267
SRD5A1	2591	454
SRD5A2	9	10
SRD5A3	1191	1285
SREBF1	9368	5203
SREBF2	8904	5716
SREK1	1896	3789
SREK1IP1	643	2111
SRF	3265	2594
SRFBP1	369	637
SRGAP1	1061	1261
SRGAP2	2424	1800
SRGAP2B	125	170
SRGAP2C	240	348
SRGAP3	271	441
SRGN	1313	3432
SRI	5570	3620
SRL	5	217
SRM	3786	1996
SRMS	34	16
SRP14	8888	11315
SRP19	275	564
SRP54	3342	2383
SRP68	10918	5630
SRP72	8154	5916
SRP9	11870	7642
SRPK1	2932	892
SRPK2	5004	3025
SRPK3	229	45
SRPRB	5774	2189
SRPX	1147	9822
SRPX2	1213	2819
SRR	162	341
SRRD	527	725
SRRM1	5867	4550
SRRM2	25902	34822
SRRM3	164	158
SRRM4	1	3
SRRM5	95	9
SRRT	8450	2495
SRSF1	3552	2887
SRSF10	5778	4772
SRSF11	7709	8094
SRSF12	103	35
SRSF2	6243	4193
SRSF3	13611	10574
SRSF4	4793	5095
SRSF5	3513	9910
SRSF6	4725	4321
SRSF7	5271	4751
SRSF8	2312	3330
SRSF9	2352	1241
SRXN1	3	0
SRY	0	0
SS18	4421	4058
SS18L1	2678	732
SS18L2	873	483
SSB	5223	4878
SSBP1	5670	2268
SSBP2	649	2622
SSBP3	6075	3895
SSBP4	681	840
SSC4D	110	288
